[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
    1: F1: 85.63, P: 88.05, R: 83.34, RollIn = 0.9500, NZW = 697198
    2: F1: 86.93, P: 89.00, R: 84.95, RollIn = 0.9025, NZW = 827817
    3: F1: 87.99, P: 89.90, R: 86.15, RollIn = 0.8574, NZW = 849663
    4: F1: 88.62, P: 90.35, R: 86.96, RollIn = 0.8145, NZW = 864617
    5: F1: 89.29, P: 91.03, R: 87.61, RollIn = 0.7738, NZW = 879008
    6: F1: 89.60, P: 91.24, R: 88.02, RollIn = 0.7351, NZW = 865610
    7: F1: 90.00, P: 91.57, R: 88.49, RollIn = 0.6983, NZW = 875299
    8: F1: 90.20, P: 91.73, R: 88.71, RollIn = 0.6634, NZW = 866218
    9: F1: 90.40, P: 91.93, R: 88.93, RollIn = 0.6302, NZW = 865885
   10: F1: 90.54, P: 92.01, R: 89.11, RollIn = 0.5987, NZW = 866664
   11: F1: 90.62, P: 92.06, R: 89.21, RollIn = 0.5688, NZW = 857982
   12: F1: 90.70, P: 92.14, R: 89.31, RollIn = 0.5404, NZW = 862074
   13: F1: 90.80, P: 92.18, R: 89.46, RollIn = 0.5133, NZW = 852753
   14: F1: 90.95, P: 92.32, R: 89.62, RollIn = 0.4877, NZW = 852514
   15: F1: 90.99, P: 92.39, R: 89.63, RollIn = 0.4633, NZW = 850513
   16: F1: 91.10, P: 92.43, R: 89.80, RollIn = 0.4401, NZW = 845665
   17: F1: 91.21, P: 92.58, R: 89.89, RollIn = 0.4181, NZW = 849006
   18: F1: 91.26, P: 92.63, R: 89.92, RollIn = 0.3972, NZW = 840900
   19: F1: 91.26, P: 92.65, R: 89.92, RollIn = 0.3774, NZW = 842121
   20: F1: 91.28, P: 92.64, R: 89.97, RollIn = 0.3585, NZW = 839952
   21: F1: 91.34, P: 92.67, R: 90.04, RollIn = 0.3406, NZW = 837771
   22: F1: 91.32, P: 92.69, R: 89.99, RollIn = 0.3235, NZW = 841349
   23: F1: 91.34, P: 92.69, R: 90.04, RollIn = 0.3074, NZW = 834480
   24: F1: 91.35, P: 92.68, R: 90.07, RollIn = 0.2920, NZW = 836897
   25: F1: 91.35, P: 92.68, R: 90.07, RollIn = 0.2774, NZW = 833988
   26: F1: 91.35, P: 92.70, R: 90.04, RollIn = 0.2635, NZW = 833810
   27: F1: 91.37, P: 92.69, R: 90.09, RollIn = 0.2503, NZW = 834396
   28: F1: 91.41, P: 92.68, R: 90.17, RollIn = 0.2378, NZW = 829327
   29: F1: 91.40, P: 92.68, R: 90.15, RollIn = 0.2259, NZW = 831799
   30: F1: 91.47, P: 92.75, R: 90.22, RollIn = 0.2146, NZW = 828222
   31: F1: 91.44, P: 92.72, R: 90.21, RollIn = 0.2039, NZW = 828274
   32: F1: 91.41, P: 92.68, R: 90.17, RollIn = 0.1937, NZW = 828712
   33: F1: 91.43, P: 92.72, R: 90.19, RollIn = 0.1840, NZW = 825673
   34: F1: 91.45, P: 92.75, R: 90.19, RollIn = 0.1748, NZW = 827649
   35: F1: 91.41, P: 92.70, R: 90.15, RollIn = 0.1661, NZW = 823821
   36: F1: 91.40, P: 92.68, R: 90.15, RollIn = 0.1578, NZW = 824294
   37: F1: 91.38, P: 92.66, R: 90.14, RollIn = 0.1499, NZW = 823961
   38: F1: 91.46, P: 92.78, R: 90.17, RollIn = 0.1424, NZW = 822154
   39: F1: 91.39, P: 92.70, R: 90.12, RollIn = 0.1353, NZW = 823922
   40: F1: 91.48, P: 92.78, R: 90.21, RollIn = 0.1285, NZW = 819662
   41: F1: 91.44, P: 92.75, R: 90.17, RollIn = 0.1221, NZW = 820084
   42: F1: 91.46, P: 92.76, R: 90.19, RollIn = 0.1160, NZW = 819175
   43: F1: 91.54, P: 92.85, R: 90.27, RollIn = 0.1102, NZW = 817712
   44: F1: 91.47, P: 92.80, R: 90.19, RollIn = 0.1047, NZW = 819429
   45: F1: 91.51, P: 92.80, R: 90.26, RollIn = 0.0994, NZW = 815658
   46: F1: 91.55, P: 92.85, R: 90.29, RollIn = 0.0945, NZW = 816775
   47: F1: 91.47, P: 92.77, R: 90.21, RollIn = 0.0897, NZW = 814892
   48: F1: 91.48, P: 92.78, R: 90.21, RollIn = 0.0853, NZW = 814050
   49: F1: 91.49, P: 92.78, R: 90.24, RollIn = 0.0810, NZW = 815292
   50: F1: 91.59, P: 92.89, R: 90.32, RollIn = 0.0769, NZW = 812432
   51: F1: 91.56, P: 92.85, R: 90.31, RollIn = 0.0731, NZW = 813433
   52: F1: 91.60, P: 92.89, R: 90.34, RollIn = 0.0694, NZW = 811323
   53: F1: 91.59, P: 92.90, R: 90.32, RollIn = 0.0660, NZW = 810934
   54: F1: 91.65, P: 92.95, R: 90.37, RollIn = 0.0627, NZW = 810785
   55: F1: 91.66, P: 92.96, R: 90.41, RollIn = 0.0595, NZW = 808239
   56: F1: 91.68, P: 92.97, R: 90.42, RollIn = 0.0566, NZW = 809057
   57: F1: 91.68, P: 92.97, R: 90.42, RollIn = 0.0537, NZW = 806213
   58: F1: 91.69, P: 92.99, R: 90.42, RollIn = 0.0510, NZW = 807194
   59: F1: 91.73, P: 93.00, R: 90.49, RollIn = 0.0485, NZW = 806119
   60: F1: 91.69, P: 92.96, R: 90.46, RollIn = 0.0461, NZW = 804056
   61: F1: 91.73, P: 93.01, R: 90.49, RollIn = 0.0438, NZW = 805189
   62: F1: 91.68, P: 92.97, R: 90.42, RollIn = 0.0416, NZW = 802498
   63: F1: 91.78, P: 93.06, R: 90.53, RollIn = 0.0395, NZW = 803259
   64: F1: 91.78, P: 93.06, R: 90.53, RollIn = 0.0375, NZW = 802137
   65: F1: 91.81, P: 93.10, R: 90.56, RollIn = 0.0356, NZW = 801058
   66: F1: 91.81, P: 93.11, R: 90.54, RollIn = 0.0339, NZW = 802167
   67: F1: 91.85, P: 93.12, R: 90.61, RollIn = 0.0322, NZW = 799056
   68: F1: 91.79, P: 93.05, R: 90.56, RollIn = 0.0306, NZW = 800001
   69: F1: 91.83, P: 93.10, R: 90.59, RollIn = 0.0290, NZW = 798450
   70: F1: 91.84, P: 93.13, R: 90.59, RollIn = 0.0276, NZW = 797895
   71: F1: 91.86, P: 93.13, R: 90.63, RollIn = 0.0262, NZW = 798580
   72: F1: 91.85, P: 93.13, R: 90.61, RollIn = 0.0249, NZW = 796455
   73: F1: 91.86, P: 93.15, R: 90.61, RollIn = 0.0236, NZW = 797167
   74: F1: 91.87, P: 93.15, R: 90.63, RollIn = 0.0225, NZW = 795570
   75: F1: 91.89, P: 93.15, R: 90.66, RollIn = 0.0213, NZW = 794925
   76: F1: 91.86, P: 93.13, R: 90.63, RollIn = 0.0203, NZW = 794812
   77: F1: 91.92, P: 93.17, R: 90.71, RollIn = 0.0193, NZW = 793130
   78: F1: 91.95, P: 93.21, R: 90.73, RollIn = 0.0183, NZW = 793964
   79: F1: 91.97, P: 93.22, R: 90.74, RollIn = 0.0174, NZW = 792269
   80: F1: 91.96, P: 93.21, R: 90.74, RollIn = 0.0165, NZW = 792086
   81: F1: 91.99, P: 93.24, R: 90.78, RollIn = 0.0157, NZW = 791606
   82: F1: 91.97, P: 93.25, R: 90.73, RollIn = 0.0149, NZW = 790055
   83: F1: 91.93, P: 93.20, R: 90.69, RollIn = 0.0142, NZW = 790471
   84: F1: 92.01, P: 93.29, R: 90.76, RollIn = 0.0135, NZW = 788280
   85: F1: 92.03, P: 93.31, R: 90.79, RollIn = 0.0128, NZW = 788370
   86: F1: 92.05, P: 93.32, R: 90.81, RollIn = 0.0121, NZW = 787582
   87: F1: 92.03, P: 93.29, R: 90.81, RollIn = 0.0115, NZW = 786449
   88: F1: 92.05, P: 93.32, R: 90.81, RollIn = 0.0110, NZW = 787198
   89: F1: 92.06, P: 93.36, R: 90.79, RollIn = 0.0104, NZW = 784762
   90: F1: 92.05, P: 93.31, R: 90.83, RollIn = 0.0099, NZW = 785586
   91: F1: 92.07, P: 93.34, R: 90.83, RollIn = 0.0094, NZW = 784581
   92: F1: 92.10, P: 93.39, R: 90.84, RollIn = 0.0089, NZW = 783889
   93: F1: 92.12, P: 93.39, R: 90.88, RollIn = 0.0085, NZW = 784363
   94: F1: 92.12, P: 93.39, R: 90.88, RollIn = 0.0081, NZW = 782727
   95: F1: 92.09, P: 93.36, R: 90.86, RollIn = 0.0077, NZW = 783202
   96: F1: 92.13, P: 93.39, R: 90.90, RollIn = 0.0073, NZW = 781869
   97: F1: 92.14, P: 93.41, R: 90.91, RollIn = 0.0069, NZW = 781336
   98: F1: 92.13, P: 93.39, R: 90.90, RollIn = 0.0066, NZW = 781193
   99: F1: 92.15, P: 93.41, R: 90.93, RollIn = 0.0062, NZW = 779472
  100: F1: 92.15, P: 93.41, R: 90.93, RollIn = 0.0059, NZW = 779427
  101: F1: 92.18, P: 93.43, R: 90.96, RollIn = 0.0056, NZW = 777697
  102: F1: 92.18, P: 93.43, R: 90.96, RollIn = 0.0053, NZW = 777854
  103: F1: 92.15, P: 93.40, R: 90.93, RollIn = 0.0051, NZW = 777479
  104: F1: 92.14, P: 93.41, R: 90.91, RollIn = 0.0048, NZW = 776465
  105: F1: 92.15, P: 93.41, R: 90.93, RollIn = 0.0046, NZW = 777168
  106: F1: 92.18, P: 93.43, R: 90.96, RollIn = 0.0044, NZW = 775033
  107: F1: 92.18, P: 93.45, R: 90.95, RollIn = 0.0041, NZW = 775655
  108: F1: 92.15, P: 93.43, R: 90.91, RollIn = 0.0039, NZW = 774688
  109: F1: 92.15, P: 93.43, R: 90.91, RollIn = 0.0037, NZW = 774078
  110: F1: 92.14, P: 93.41, R: 90.91, RollIn = 0.0035, NZW = 774685
  111: F1: 92.14, P: 93.41, R: 90.91, RollIn = 0.0034, NZW = 772611
  112: F1: 92.18, P: 93.43, R: 90.96, RollIn = 0.0032, NZW = 773041
  113: F1: 92.15, P: 93.41, R: 90.93, RollIn = 0.0030, NZW = 771915
  114: F1: 92.12, P: 93.38, R: 90.90, RollIn = 0.0029, NZW = 771235
  115: F1: 92.14, P: 93.41, R: 90.90, RollIn = 0.0027, NZW = 771166
  116: F1: 92.17, P: 93.43, R: 90.95, RollIn = 0.0026, NZW = 769514
  117: F1: 92.17, P: 93.43, R: 90.95, RollIn = 0.0025, NZW = 769925
  118: F1: 92.16, P: 93.43, R: 90.93, RollIn = 0.0024, NZW = 769013
  119: F1: 92.17, P: 93.45, R: 90.93, RollIn = 0.0022, NZW = 768981
  120: F1: 92.13, P: 93.39, R: 90.90, RollIn = 0.0021, NZW = 768881
  121: F1: 92.17, P: 93.45, R: 90.93, RollIn = 0.0020, NZW = 767566
  122: F1: 92.18, P: 93.46, R: 90.93, RollIn = 0.0019, NZW = 767865
