[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 2.0E-6, bias = 0.0, batch = 5
    1: F1: 90.79, P: 92.12, R: 89.50, RollIn = 0.9500, NZW = 465939
    2: F1: 91.59, P: 92.75, R: 90.46, RollIn = 0.9025, NZW = 556742
    3: F1: 91.98, P: 92.97, R: 91.01, RollIn = 0.8574, NZW = 570240
    4: F1: 92.20, P: 93.22, R: 91.20, RollIn = 0.8145, NZW = 577801
    5: F1: 92.17, P: 93.11, R: 91.25, RollIn = 0.7738, NZW = 586320
    6: F1: 92.35, P: 93.32, R: 91.40, RollIn = 0.7351, NZW = 571980
    7: F1: 92.53, P: 93.46, R: 91.62, RollIn = 0.6983, NZW = 576188
    8: F1: 92.44, P: 93.36, R: 91.53, RollIn = 0.6634, NZW = 564509
    9: F1: 92.47, P: 93.27, R: 91.69, RollIn = 0.6302, NZW = 561227
   10: F1: 92.57, P: 93.40, R: 91.75, RollIn = 0.5987, NZW = 557858
   11: F1: 92.64, P: 93.50, R: 91.79, RollIn = 0.5688, NZW = 547312
   12: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.5404, NZW = 550217
   13: F1: 92.52, P: 93.41, R: 91.65, RollIn = 0.5133, NZW = 540297
   14: F1: 92.49, P: 93.32, R: 91.67, RollIn = 0.4877, NZW = 537158
   15: F1: 92.61, P: 93.48, R: 91.75, RollIn = 0.4633, NZW = 533556
   16: F1: 92.62, P: 93.42, R: 91.82, RollIn = 0.4401, NZW = 527416
   17: F1: 92.64, P: 93.44, R: 91.85, RollIn = 0.4181, NZW = 529280
   18: F1: 92.58, P: 93.45, R: 91.72, RollIn = 0.3972, NZW = 520232
   19: F1: 92.65, P: 93.52, R: 91.80, RollIn = 0.3774, NZW = 519379
   20: F1: 92.64, P: 93.52, R: 91.79, RollIn = 0.3585, NZW = 515649
   21: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.3406, NZW = 512502
   22: F1: 92.66, P: 93.57, R: 91.77, RollIn = 0.3235, NZW = 513772
   23: F1: 92.73, P: 93.63, R: 91.84, RollIn = 0.3074, NZW = 506056
   24: F1: 92.73, P: 93.62, R: 91.85, RollIn = 0.2920, NZW = 506764
   25: F1: 92.72, P: 93.62, R: 91.84, RollIn = 0.2774, NZW = 502816
   26: F1: 92.74, P: 93.61, R: 91.89, RollIn = 0.2635, NZW = 500284
   27: F1: 92.72, P: 93.54, R: 91.91, RollIn = 0.2503, NZW = 500895
   28: F1: 92.73, P: 93.54, R: 91.92, RollIn = 0.2378, NZW = 495226
   29: F1: 92.74, P: 93.59, R: 91.91, RollIn = 0.2259, NZW = 497025
   30: F1: 92.69, P: 93.52, R: 91.87, RollIn = 0.2146, NZW = 492918
   31: F1: 92.74, P: 93.59, R: 91.91, RollIn = 0.2039, NZW = 492100
   32: F1: 92.77, P: 93.71, R: 91.84, RollIn = 0.1937, NZW = 490891
   33: F1: 92.81, P: 93.73, R: 91.91, RollIn = 0.1840, NZW = 487057
   34: F1: 92.83, P: 93.78, R: 91.91, RollIn = 0.1748, NZW = 488275
   35: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.1661, NZW = 484157
   36: F1: 92.80, P: 93.75, R: 91.87, RollIn = 0.1578, NZW = 483802
   37: F1: 92.71, P: 93.68, R: 91.77, RollIn = 0.1499, NZW = 482907
   38: F1: 92.75, P: 93.71, R: 91.80, RollIn = 0.1424, NZW = 480447
   39: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.1353, NZW = 482429
   40: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.1285, NZW = 477993
   41: F1: 92.69, P: 93.66, R: 91.74, RollIn = 0.1221, NZW = 478164
   42: F1: 92.69, P: 93.67, R: 91.72, RollIn = 0.1160, NZW = 476516
   43: F1: 92.56, P: 93.55, R: 91.59, RollIn = 0.1102, NZW = 474529
   44: F1: 92.66, P: 93.63, R: 91.72, RollIn = 0.1047, NZW = 475639
   45: F1: 92.65, P: 93.63, R: 91.70, RollIn = 0.0994, NZW = 470924
   46: F1: 92.71, P: 93.66, R: 91.77, RollIn = 0.0945, NZW = 472027
