[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
    1: F1: 84.93, P: 87.01, R: 82.95, RollIn = 0.9500, NZW = 540897
    2: F1: 86.44, P: 88.14, R: 84.80, RollIn = 0.9025, NZW = 632739
    3: F1: 87.30, P: 88.92, R: 85.75, RollIn = 0.8574, NZW = 648790
    4: F1: 88.21, P: 89.80, R: 86.67, RollIn = 0.8145, NZW = 659072
    5: F1: 88.69, P: 90.13, R: 87.29, RollIn = 0.7738, NZW = 670527
    6: F1: 89.24, P: 90.60, R: 87.92, RollIn = 0.7351, NZW = 660393
    7: F1: 89.57, P: 91.02, R: 88.17, RollIn = 0.6983, NZW = 667648
    8: F1: 89.73, P: 91.12, R: 88.39, RollIn = 0.6634, NZW = 660409
    9: F1: 90.02, P: 91.41, R: 88.67, RollIn = 0.6302, NZW = 660725
   10: F1: 90.15, P: 91.46, R: 88.88, RollIn = 0.5987, NZW = 661188
   11: F1: 90.30, P: 91.62, R: 89.03, RollIn = 0.5688, NZW = 654257
   12: F1: 90.44, P: 91.76, R: 89.16, RollIn = 0.5404, NZW = 658667
   13: F1: 90.73, P: 92.02, R: 89.48, RollIn = 0.5133, NZW = 651787
   14: F1: 90.86, P: 92.16, R: 89.60, RollIn = 0.4877, NZW = 652475
   15: F1: 90.88, P: 92.18, R: 89.62, RollIn = 0.4633, NZW = 651709
   16: F1: 91.03, P: 92.35, R: 89.75, RollIn = 0.4401, NZW = 648556
   17: F1: 91.10, P: 92.42, R: 89.82, RollIn = 0.4181, NZW = 652416
   18: F1: 91.07, P: 92.37, R: 89.80, RollIn = 0.3972, NZW = 647323
   19: F1: 91.13, P: 92.38, R: 89.92, RollIn = 0.3774, NZW = 649207
   20: F1: 91.11, P: 92.31, R: 89.94, RollIn = 0.3585, NZW = 647977
   21: F1: 91.17, P: 92.41, R: 89.97, RollIn = 0.3406, NZW = 647338
   22: F1: 91.23, P: 92.45, R: 90.04, RollIn = 0.3235, NZW = 650871
   23: F1: 91.25, P: 92.45, R: 90.07, RollIn = 0.3074, NZW = 645090
   24: F1: 91.29, P: 92.50, R: 90.10, RollIn = 0.2920, NZW = 647697
   25: F1: 91.38, P: 92.57, R: 90.22, RollIn = 0.2774, NZW = 646099
   26: F1: 91.32, P: 92.54, R: 90.14, RollIn = 0.2635, NZW = 646044
   27: F1: 91.37, P: 92.60, R: 90.17, RollIn = 0.2503, NZW = 648136
   28: F1: 91.36, P: 92.57, R: 90.17, RollIn = 0.2378, NZW = 644942
   29: F1: 91.29, P: 92.50, R: 90.10, RollIn = 0.2259, NZW = 647233
   30: F1: 91.25, P: 92.47, R: 90.07, RollIn = 0.2146, NZW = 645250
   31: F1: 91.25, P: 92.45, R: 90.07, RollIn = 0.2039, NZW = 645629
   32: F1: 91.26, P: 92.44, R: 90.10, RollIn = 0.1937, NZW = 646170
   33: F1: 91.32, P: 92.51, R: 90.15, RollIn = 0.1840, NZW = 643820
   34: F1: 91.27, P: 92.46, R: 90.12, RollIn = 0.1748, NZW = 645882
   35: F1: 91.27, P: 92.42, R: 90.14, RollIn = 0.1661, NZW = 643365
   36: F1: 91.35, P: 92.51, R: 90.22, RollIn = 0.1578, NZW = 643693
   37: F1: 91.36, P: 92.53, R: 90.22, RollIn = 0.1499, NZW = 643671
   38: F1: 91.37, P: 92.54, R: 90.22, RollIn = 0.1424, NZW = 642146
   39: F1: 91.37, P: 92.53, R: 90.24, RollIn = 0.1353, NZW = 643607
