[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad-MiniBatch: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
    1: F1: 84.70, P: 87.99, R: 81.64, RollIn = 0.9500, NZW = 785766
    2: F1: 87.14, P: 89.47, R: 84.92, RollIn = 0.9025, NZW = 936693
    3: F1: 88.42, P: 90.50, R: 86.44, RollIn = 0.8574, NZW = 1017229
    4: F1: 89.06, P: 90.79, R: 87.39, RollIn = 0.8145, NZW = 1073539
    5: F1: 89.84, P: 91.53, R: 88.20, RollIn = 0.7738, NZW = 1116842
    6: F1: 90.12, P: 91.74, R: 88.56, RollIn = 0.7351, NZW = 1152654
    7: F1: 90.48, P: 92.04, R: 88.98, RollIn = 0.6983, NZW = 1181553
    8: F1: 90.79, P: 92.28, R: 89.35, RollIn = 0.6634, NZW = 1207422
    9: F1: 91.16, P: 92.63, R: 89.73, RollIn = 0.6302, NZW = 1230350
   10: F1: 91.29, P: 92.73, R: 89.90, RollIn = 0.5987, NZW = 1250882
   11: F1: 91.35, P: 92.75, R: 89.99, RollIn = 0.5688, NZW = 1270022
   12: F1: 91.46, P: 92.88, R: 90.07, RollIn = 0.5404, NZW = 1286934
   13: F1: 91.54, P: 92.93, R: 90.19, RollIn = 0.5133, NZW = 1302772
   14: F1: 91.63, P: 93.03, R: 90.27, RollIn = 0.4877, NZW = 1317122
   15: F1: 91.73, P: 93.10, R: 90.41, RollIn = 0.4633, NZW = 1330183
   16: F1: 91.79, P: 93.17, R: 90.46, RollIn = 0.4401, NZW = 1342482
   17: F1: 91.93, P: 93.31, R: 90.59, RollIn = 0.4181, NZW = 1354040
   18: F1: 91.90, P: 93.23, R: 90.61, RollIn = 0.3972, NZW = 1364374
   19: F1: 91.96, P: 93.31, R: 90.64, RollIn = 0.3774, NZW = 1374980
   20: F1: 91.93, P: 93.26, R: 90.64, RollIn = 0.3585, NZW = 1384187
   21: F1: 92.06, P: 93.33, R: 90.83, RollIn = 0.3406, NZW = 1393391
   22: F1: 92.00, P: 93.27, R: 90.76, RollIn = 0.3235, NZW = 1401821
   23: F1: 91.98, P: 93.25, R: 90.74, RollIn = 0.3074, NZW = 1410847
   24: F1: 92.03, P: 93.31, R: 90.79, RollIn = 0.2920, NZW = 1418957
   25: F1: 92.08, P: 93.36, R: 90.83, RollIn = 0.2774, NZW = 1426216
   26: F1: 92.10, P: 93.38, R: 90.86, RollIn = 0.2635, NZW = 1433690
   27: F1: 92.09, P: 93.34, R: 90.86, RollIn = 0.2503, NZW = 1440476
   28: F1: 92.08, P: 93.33, R: 90.86, RollIn = 0.2378, NZW = 1447440
   29: F1: 92.16, P: 93.40, R: 90.95, RollIn = 0.2259, NZW = 1453806
   30: F1: 92.17, P: 93.40, R: 90.98, RollIn = 0.2146, NZW = 1459700
   31: F1: 92.22, P: 93.44, R: 91.03, RollIn = 0.2039, NZW = 1465259
   32: F1: 92.15, P: 93.37, R: 90.96, RollIn = 0.1937, NZW = 1471191
   33: F1: 92.28, P: 93.49, R: 91.10, RollIn = 0.1840, NZW = 1476341
   34: F1: 92.28, P: 93.49, R: 91.10, RollIn = 0.1748, NZW = 1481904
   35: F1: 92.28, P: 93.46, R: 91.13, RollIn = 0.1661, NZW = 1487284
   36: F1: 92.32, P: 93.52, R: 91.15, RollIn = 0.1578, NZW = 1492337
   37: F1: 92.35, P: 93.53, R: 91.20, RollIn = 0.1499, NZW = 1496572
   38: F1: 92.31, P: 93.49, R: 91.16, RollIn = 0.1424, NZW = 1501183
   39: F1: 92.35, P: 93.51, R: 91.22, RollIn = 0.1353, NZW = 1505599
   40: F1: 92.34, P: 93.51, R: 91.20, RollIn = 0.1285, NZW = 1510518
   41: F1: 92.37, P: 93.55, R: 91.22, RollIn = 0.1221, NZW = 1514715
   42: F1: 92.36, P: 93.54, R: 91.20, RollIn = 0.1160, NZW = 1518266
   43: F1: 92.32, P: 93.49, R: 91.18, RollIn = 0.1102, NZW = 1522090
   44: F1: 92.36, P: 93.51, R: 91.23, RollIn = 0.1047, NZW = 1525583
   45: F1: 92.37, P: 93.52, R: 91.25, RollIn = 0.0994, NZW = 1529257
   46: F1: 92.37, P: 93.52, R: 91.25, RollIn = 0.0945, NZW = 1532288
   47: F1: 92.37, P: 93.52, R: 91.25, RollIn = 0.0897, NZW = 1535572
   48: F1: 92.44, P: 93.57, R: 91.33, RollIn = 0.0853, NZW = 1538594
   49: F1: 92.43, P: 93.55, R: 91.33, RollIn = 0.0810, NZW = 1541792
   50: F1: 92.41, P: 93.54, R: 91.32, RollIn = 0.0769, NZW = 1544672
   51: F1: 92.46, P: 93.56, R: 91.38, RollIn = 0.0731, NZW = 1547415
   52: F1: 92.46, P: 93.56, R: 91.38, RollIn = 0.0694, NZW = 1550074
