[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad-MiniBatch: learning rate = 0.02, l1 = 2.0E-6, bias = 0.0, batch = 5
    1: F1: 90.31, P: 91.63, R: 89.03, RollIn = 0.9500, NZW = 382624
    2: F1: 91.46, P: 92.62, R: 90.34, RollIn = 0.9025, NZW = 450404
    3: F1: 91.87, P: 92.81, R: 90.96, RollIn = 0.8574, NZW = 489872
    4: F1: 92.15, P: 92.96, R: 91.35, RollIn = 0.8145, NZW = 519839
    5: F1: 92.21, P: 93.01, R: 91.42, RollIn = 0.7738, NZW = 543310
    6: F1: 92.52, P: 93.31, R: 91.74, RollIn = 0.7351, NZW = 561734
    7: F1: 92.46, P: 93.22, R: 91.70, RollIn = 0.6983, NZW = 577178
    8: F1: 92.63, P: 93.46, R: 91.82, RollIn = 0.6634, NZW = 591281
    9: F1: 92.58, P: 93.36, R: 91.80, RollIn = 0.6302, NZW = 602498
   10: F1: 92.71, P: 93.45, R: 91.97, RollIn = 0.5987, NZW = 612293
   11: F1: 92.82, P: 93.60, R: 92.06, RollIn = 0.5688, NZW = 620980
   12: F1: 92.71, P: 93.44, R: 91.99, RollIn = 0.5404, NZW = 628626
   13: F1: 92.62, P: 93.44, R: 91.82, RollIn = 0.5133, NZW = 635948
   14: F1: 92.68, P: 93.51, R: 91.87, RollIn = 0.4877, NZW = 642273
   15: F1: 92.86, P: 93.70, R: 92.04, RollIn = 0.4633, NZW = 647752
   16: F1: 92.91, P: 93.70, R: 92.12, RollIn = 0.4401, NZW = 653053
   17: F1: 92.84, P: 93.66, R: 92.02, RollIn = 0.4181, NZW = 657463
   18: F1: 92.87, P: 93.70, R: 92.06, RollIn = 0.3972, NZW = 662075
   19: F1: 92.84, P: 93.68, R: 92.02, RollIn = 0.3774, NZW = 665709
   20: F1: 92.89, P: 93.73, R: 92.06, RollIn = 0.3585, NZW = 669668
   21: F1: 92.87, P: 93.68, R: 92.07, RollIn = 0.3406, NZW = 672516
   22: F1: 92.88, P: 93.65, R: 92.12, RollIn = 0.3235, NZW = 675314
   23: F1: 92.89, P: 93.73, R: 92.07, RollIn = 0.3074, NZW = 678011
   24: F1: 92.97, P: 93.75, R: 92.19, RollIn = 0.2920, NZW = 680398
   25: F1: 92.93, P: 93.76, R: 92.11, RollIn = 0.2774, NZW = 683035
   26: F1: 92.82, P: 93.71, R: 91.96, RollIn = 0.2635, NZW = 685302
   27: F1: 92.94, P: 93.72, R: 92.17, RollIn = 0.2503, NZW = 687145
   28: F1: 92.86, P: 93.70, R: 92.04, RollIn = 0.2378, NZW = 689084
   29: F1: 92.91, P: 93.69, R: 92.14, RollIn = 0.2259, NZW = 690496
   30: F1: 92.83, P: 93.60, R: 92.07, RollIn = 0.2146, NZW = 692050
   31: F1: 92.80, P: 93.63, R: 91.99, RollIn = 0.2039, NZW = 693721
   32: F1: 92.81, P: 93.64, R: 91.99, RollIn = 0.1937, NZW = 695620
   33: F1: 92.87, P: 93.68, R: 92.07, RollIn = 0.1840, NZW = 697205
   34: F1: 92.68, P: 93.51, R: 91.87, RollIn = 0.1748, NZW = 698820
   35: F1: 92.86, P: 93.71, R: 92.02, RollIn = 0.1661, NZW = 700098
   36: F1: 92.74, P: 93.59, R: 91.91, RollIn = 0.1578, NZW = 701302
   37: F1: 92.67, P: 93.52, R: 91.84, RollIn = 0.1499, NZW = 702618
   38: F1: 92.76, P: 93.62, R: 91.92, RollIn = 0.1424, NZW = 703590
   39: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.1353, NZW = 704486
   40: F1: 92.69, P: 93.57, R: 91.82, RollIn = 0.1285, NZW = 705595
   41: F1: 92.68, P: 93.55, R: 91.82, RollIn = 0.1221, NZW = 706532
   42: F1: 92.59, P: 93.42, R: 91.77, RollIn = 0.1160, NZW = 707347
   43: F1: 92.65, P: 93.55, R: 91.77, RollIn = 0.1102, NZW = 708475
   44: F1: 92.60, P: 93.47, R: 91.75, RollIn = 0.1047, NZW = 709038
   45: F1: 92.61, P: 93.47, R: 91.77, RollIn = 0.0994, NZW = 709840
   46: F1: 92.59, P: 93.47, R: 91.74, RollIn = 0.0945, NZW = 710603
   47: F1: 92.71, P: 93.60, R: 91.84, RollIn = 0.0897, NZW = 711431
   48: F1: 92.71, P: 93.62, R: 91.82, RollIn = 0.0853, NZW = 712224
   49: F1: 92.77, P: 93.68, R: 91.87, RollIn = 0.0810, NZW = 712835
   50: F1: 92.75, P: 93.65, R: 91.87, RollIn = 0.0769, NZW = 713251
   51: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0731, NZW = 713635
   52: F1: 92.69, P: 93.58, R: 91.82, RollIn = 0.0694, NZW = 714190
   53: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0660, NZW = 714771
   54: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0627, NZW = 715442
   55: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0595, NZW = 716083
   56: F1: 92.74, P: 93.65, R: 91.84, RollIn = 0.0566, NZW = 716613
   57: F1: 92.66, P: 93.60, R: 91.74, RollIn = 0.0537, NZW = 717116
   58: F1: 92.67, P: 93.61, R: 91.75, RollIn = 0.0510, NZW = 717596
   59: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0485, NZW = 717903
   60: F1: 92.58, P: 93.54, R: 91.64, RollIn = 0.0461, NZW = 718311
   61: F1: 92.60, P: 93.51, R: 91.70, RollIn = 0.0438, NZW = 718938
   62: F1: 92.65, P: 93.58, R: 91.74, RollIn = 0.0416, NZW = 719283
   63: F1: 92.64, P: 93.58, R: 91.72, RollIn = 0.0395, NZW = 719749
   64: F1: 92.63, P: 93.55, R: 91.74, RollIn = 0.0375, NZW = 720066
   65: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0356, NZW = 720438
   66: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0339, NZW = 720957
   67: F1: 92.61, P: 93.59, R: 91.65, RollIn = 0.0322, NZW = 721471
   68: F1: 92.57, P: 93.54, R: 91.62, RollIn = 0.0306, NZW = 721710
   69: F1: 92.47, P: 93.42, R: 91.53, RollIn = 0.0290, NZW = 721841
   70: F1: 92.54, P: 93.46, R: 91.64, RollIn = 0.0276, NZW = 722225
   71: F1: 92.57, P: 93.51, R: 91.65, RollIn = 0.0262, NZW = 722508
