[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, bias = 0.5, batch = 5
    1: F1: 86.94, P: 88.48, R: 85.46, RollIn = 0.9500, NZW = 448974
    2: F1: 88.81, P: 90.22, R: 87.45, RollIn = 0.9025, NZW = 507332
    3: F1: 89.96, P: 91.21, R: 88.74, RollIn = 0.8574, NZW = 541050
    4: F1: 90.50, P: 91.69, R: 89.35, RollIn = 0.8145, NZW = 566586
    5: F1: 90.79, P: 91.79, R: 89.80, RollIn = 0.7738, NZW = 588575
    6: F1: 91.10, P: 91.92, R: 90.31, RollIn = 0.7351, NZW = 607835
    7: F1: 91.19, P: 91.99, R: 90.41, RollIn = 0.6983, NZW = 624884
    8: F1: 91.37, P: 92.14, R: 90.61, RollIn = 0.6634, NZW = 639878
    9: F1: 91.47, P: 92.22, R: 90.73, RollIn = 0.6302, NZW = 653621
   10: F1: 91.67, P: 92.39, R: 90.96, RollIn = 0.5987, NZW = 666544
   11: F1: 91.80, P: 92.47, R: 91.15, RollIn = 0.5688, NZW = 678501
   12: F1: 91.93, P: 92.56, R: 91.30, RollIn = 0.5404, NZW = 690133
   13: F1: 92.10, P: 92.73, R: 91.48, RollIn = 0.5133, NZW = 700996
   14: F1: 92.16, P: 92.77, R: 91.55, RollIn = 0.4877, NZW = 710546
   15: F1: 92.18, P: 92.79, R: 91.59, RollIn = 0.4633, NZW = 719730
   16: F1: 92.25, P: 92.84, R: 91.67, RollIn = 0.4401, NZW = 728884
   17: F1: 92.26, P: 92.87, R: 91.65, RollIn = 0.4181, NZW = 736988
   18: F1: 92.29, P: 92.94, R: 91.65, RollIn = 0.3972, NZW = 744527
   19: F1: 92.37, P: 93.00, R: 91.74, RollIn = 0.3774, NZW = 751595
   20: F1: 92.40, P: 93.04, R: 91.77, RollIn = 0.3585, NZW = 758222
   21: F1: 92.43, P: 93.09, R: 91.79, RollIn = 0.3406, NZW = 764676
   22: F1: 92.43, P: 93.09, R: 91.79, RollIn = 0.3235, NZW = 770201
   23: F1: 92.48, P: 93.14, R: 91.84, RollIn = 0.3074, NZW = 775949
   24: F1: 92.48, P: 93.14, R: 91.84, RollIn = 0.2920, NZW = 782079
   25: F1: 92.50, P: 93.13, R: 91.89, RollIn = 0.2774, NZW = 787879
   26: F1: 92.55, P: 93.16, R: 91.94, RollIn = 0.2635, NZW = 792991
   27: F1: 92.53, P: 93.14, R: 91.92, RollIn = 0.2503, NZW = 797529
   28: F1: 92.54, P: 93.18, R: 91.91, RollIn = 0.2378, NZW = 802133
   29: F1: 92.57, P: 93.21, R: 91.94, RollIn = 0.2259, NZW = 806633
