[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.88, P: 92.21, R: 89.60, RollIn = 0.9500, NZW = 464049
    2: F1: 91.74, P: 92.80, R: 90.69, RollIn = 0.9025, NZW = 551698
    3: F1: 92.06, P: 93.07, R: 91.08, RollIn = 0.8574, NZW = 601399
    4: F1: 92.30, P: 93.28, R: 91.33, RollIn = 0.8145, NZW = 635500
    5: F1: 92.48, P: 93.39, R: 91.59, RollIn = 0.7738, NZW = 656987
    6: F1: 92.56, P: 93.45, R: 91.69, RollIn = 0.7351, NZW = 652057
    7: F1: 92.66, P: 93.54, R: 91.80, RollIn = 0.6983, NZW = 655261
    8: F1: 92.68, P: 93.49, R: 91.89, RollIn = 0.6634, NZW = 661172
    9: F1: 92.73, P: 93.56, R: 91.92, RollIn = 0.6302, NZW = 667382
   10: F1: 92.82, P: 93.57, R: 92.07, RollIn = 0.5987, NZW = 669090
   11: F1: 92.85, P: 93.65, R: 92.06, RollIn = 0.5688, NZW = 661679
   12: F1: 92.82, P: 93.66, R: 91.99, RollIn = 0.5404, NZW = 661952
   13: F1: 92.74, P: 93.53, R: 91.96, RollIn = 0.5133, NZW = 661825
   14: F1: 92.80, P: 93.58, R: 92.02, RollIn = 0.4877, NZW = 664604
   15: F1: 92.91, P: 93.72, R: 92.12, RollIn = 0.4633, NZW = 661976
   16: F1: 92.86, P: 93.63, R: 92.09, RollIn = 0.4401, NZW = 656030
   17: F1: 92.82, P: 93.57, R: 92.07, RollIn = 0.4181, NZW = 654369
   18: F1: 92.83, P: 93.63, R: 92.04, RollIn = 0.3972, NZW = 654770
   19: F1: 92.85, P: 93.62, R: 92.09, RollIn = 0.3774, NZW = 655948
   20: F1: 92.83, P: 93.66, R: 92.01, RollIn = 0.3585, NZW = 652124
