[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, l1 = 1.0E-6, bias = 0.5, batch = 5
    1: F1: 85.77, P: 88.17, R: 83.51, RollIn = 0.9500, NZW = 696548
    2: F1: 87.16, P: 89.23, R: 85.19, RollIn = 0.9025, NZW = 830842
    3: F1: 88.53, P: 90.41, R: 86.74, RollIn = 0.8574, NZW = 903067
    4: F1: 89.17, P: 90.91, R: 87.50, RollIn = 0.8145, NZW = 951534
    5: F1: 89.75, P: 91.41, R: 88.15, RollIn = 0.7738, NZW = 981816
    6: F1: 90.01, P: 91.60, R: 88.47, RollIn = 0.7351, NZW = 977786
    7: F1: 90.44, P: 91.99, R: 88.94, RollIn = 0.6983, NZW = 987100
    8: F1: 90.65, P: 92.17, R: 89.18, RollIn = 0.6634, NZW = 999216
    9: F1: 90.82, P: 92.30, R: 89.38, RollIn = 0.6302, NZW = 1012301
   10: F1: 91.02, P: 92.43, R: 89.65, RollIn = 0.5987, NZW = 1018079
   11: F1: 91.10, P: 92.44, R: 89.78, RollIn = 0.5688, NZW = 1010286
   12: F1: 91.17, P: 92.53, R: 89.85, RollIn = 0.5404, NZW = 1013759
   13: F1: 91.28, P: 92.62, R: 89.97, RollIn = 0.5133, NZW = 1019177
   14: F1: 91.33, P: 92.66, R: 90.04, RollIn = 0.4877, NZW = 1025434
   15: F1: 91.41, P: 92.71, R: 90.14, RollIn = 0.4633, NZW = 1025513
   16: F1: 91.45, P: 92.70, R: 90.24, RollIn = 0.4401, NZW = 1020236
   17: F1: 91.55, P: 92.82, R: 90.31, RollIn = 0.4181, NZW = 1021573
   18: F1: 91.60, P: 92.89, R: 90.34, RollIn = 0.3972, NZW = 1025642
   19: F1: 91.66, P: 92.90, R: 90.46, RollIn = 0.3774, NZW = 1029842
   20: F1: 91.71, P: 92.96, R: 90.49, RollIn = 0.3585, NZW = 1027382
   21: F1: 91.67, P: 92.96, R: 90.42, RollIn = 0.3406, NZW = 1023689
   22: F1: 91.68, P: 92.97, R: 90.42, RollIn = 0.3235, NZW = 1024919
   23: F1: 91.69, P: 92.99, R: 90.42, RollIn = 0.3074, NZW = 1027746
   24: F1: 91.69, P: 93.01, R: 90.41, RollIn = 0.2920, NZW = 1030884
