[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.85, P: 92.22, R: 89.52, RollIn = 0.9500, NZW = 439303
    2: F1: 91.93, P: 93.08, R: 90.81, RollIn = 0.9025, NZW = 522298
    3: F1: 92.16, P: 93.20, R: 91.15, RollIn = 0.8574, NZW = 568656
    4: F1: 92.23, P: 93.11, R: 91.37, RollIn = 0.8145, NZW = 602477
    5: F1: 92.54, P: 93.40, R: 91.69, RollIn = 0.7738, NZW = 623383
    6: F1: 92.53, P: 93.32, R: 91.75, RollIn = 0.7351, NZW = 618514
    7: F1: 92.46, P: 93.34, R: 91.59, RollIn = 0.6983, NZW = 621774
    8: F1: 92.50, P: 93.32, R: 91.69, RollIn = 0.6634, NZW = 627459
    9: F1: 92.62, P: 93.47, R: 91.79, RollIn = 0.6302, NZW = 633991
   10: F1: 92.62, P: 93.47, R: 91.79, RollIn = 0.5987, NZW = 635323
   11: F1: 92.77, P: 93.56, R: 91.99, RollIn = 0.5688, NZW = 628431
   12: F1: 92.65, P: 93.46, R: 91.85, RollIn = 0.5404, NZW = 628163
   13: F1: 92.74, P: 93.58, R: 91.92, RollIn = 0.5133, NZW = 629262
   14: F1: 92.73, P: 93.54, R: 91.94, RollIn = 0.4877, NZW = 631302
   15: F1: 92.77, P: 93.56, R: 91.99, RollIn = 0.4633, NZW = 629040
   16: F1: 92.70, P: 93.57, R: 91.85, RollIn = 0.4401, NZW = 622787
   17: F1: 92.70, P: 93.57, R: 91.84, RollIn = 0.4181, NZW = 621970
   18: F1: 92.71, P: 93.54, R: 91.89, RollIn = 0.3972, NZW = 623240
   19: F1: 92.67, P: 93.52, R: 91.84, RollIn = 0.3774, NZW = 624482
   20: F1: 92.70, P: 93.57, R: 91.84, RollIn = 0.3585, NZW = 620687
   21: F1: 92.88, P: 93.68, R: 92.09, RollIn = 0.3406, NZW = 616450
   22: F1: 92.83, P: 93.63, R: 92.04, RollIn = 0.3235, NZW = 615763
   23: F1: 92.72, P: 93.56, R: 91.91, RollIn = 0.3074, NZW = 615723
   24: F1: 92.79, P: 93.58, R: 92.01, RollIn = 0.2920, NZW = 616820
   25: F1: 92.84, P: 93.66, R: 92.04, RollIn = 0.2774, NZW = 613040
