[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 91.25, P: 92.57, R: 89.97, RollIn = 0.9500, NZW = 487138
    2: F1: 91.73, P: 92.83, R: 90.66, RollIn = 0.9025, NZW = 578954
    3: F1: 92.19, P: 93.16, R: 91.23, RollIn = 0.8574, NZW = 629845
    4: F1: 92.31, P: 93.24, R: 91.40, RollIn = 0.8145, NZW = 665757
    5: F1: 92.51, P: 93.44, R: 91.60, RollIn = 0.7738, NZW = 687651
    6: F1: 92.64, P: 93.50, R: 91.79, RollIn = 0.7351, NZW = 682128
    7: F1: 92.41, P: 93.29, R: 91.53, RollIn = 0.6983, NZW = 685577
    8: F1: 92.39, P: 93.23, R: 91.57, RollIn = 0.6634, NZW = 691168
    9: F1: 92.53, P: 93.40, R: 91.67, RollIn = 0.6302, NZW = 697102
   10: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.5987, NZW = 698860
   11: F1: 92.67, P: 93.49, R: 91.85, RollIn = 0.5688, NZW = 690997
   12: F1: 92.53, P: 93.35, R: 91.72, RollIn = 0.5404, NZW = 690347
   13: F1: 92.55, P: 93.37, R: 91.74, RollIn = 0.5133, NZW = 690950
   14: F1: 92.56, P: 93.34, R: 91.79, RollIn = 0.4877, NZW = 693028
   15: F1: 92.59, P: 93.41, R: 91.79, RollIn = 0.4633, NZW = 690151
   16: F1: 92.59, P: 93.36, R: 91.84, RollIn = 0.4401, NZW = 683480
   17: F1: 92.69, P: 93.49, R: 91.91, RollIn = 0.4181, NZW = 682569
   18: F1: 92.57, P: 93.39, R: 91.77, RollIn = 0.3972, NZW = 682088
