[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.85, P: 92.16, R: 89.58, RollIn = 0.9500, NZW = 438639
    2: F1: 91.83, P: 92.92, R: 90.76, RollIn = 0.9025, NZW = 521711
    3: F1: 91.93, P: 92.96, R: 90.91, RollIn = 0.8574, NZW = 568404
    4: F1: 92.23, P: 93.14, R: 91.35, RollIn = 0.8145, NZW = 602146
    5: F1: 92.35, P: 93.20, R: 91.52, RollIn = 0.7738, NZW = 623293
    6: F1: 92.50, P: 93.35, R: 91.67, RollIn = 0.7351, NZW = 618678
    7: F1: 92.61, P: 93.44, R: 91.80, RollIn = 0.6983, NZW = 622158
    8: F1: 92.59, P: 93.50, R: 91.70, RollIn = 0.6634, NZW = 628542
    9: F1: 92.79, P: 93.67, R: 91.92, RollIn = 0.6302, NZW = 635489
   10: F1: 92.63, P: 93.46, R: 91.82, RollIn = 0.5987, NZW = 637444
   11: F1: 92.69, P: 93.49, R: 91.91, RollIn = 0.5688, NZW = 630294
   12: F1: 92.76, P: 93.59, R: 91.94, RollIn = 0.5404, NZW = 630293
   13: F1: 92.68, P: 93.45, R: 91.92, RollIn = 0.5133, NZW = 631610
   14: F1: 92.74, P: 93.55, R: 91.96, RollIn = 0.4877, NZW = 633773
   15: F1: 92.73, P: 93.56, R: 91.92, RollIn = 0.4633, NZW = 631319
   16: F1: 92.68, P: 93.51, R: 91.87, RollIn = 0.4401, NZW = 625708
   17: F1: 92.75, P: 93.53, R: 91.97, RollIn = 0.4181, NZW = 624921
   18: F1: 92.76, P: 93.53, R: 92.01, RollIn = 0.3972, NZW = 624578
   19: F1: 92.79, P: 93.55, R: 92.04, RollIn = 0.3774, NZW = 625853
   20: F1: 92.70, P: 93.47, R: 91.96, RollIn = 0.3585, NZW = 621818
   21: F1: 92.79, P: 93.54, R: 92.06, RollIn = 0.3406, NZW = 617678
