[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.63, P: 91.96, R: 89.33, RollIn = 0.9500, NZW = 413957
    2: F1: 91.53, P: 92.66, R: 90.44, RollIn = 0.9025, NZW = 493831
    3: F1: 91.95, P: 92.92, R: 91.00, RollIn = 0.8574, NZW = 538506
    4: F1: 92.24, P: 93.12, R: 91.37, RollIn = 0.8145, NZW = 571460
    5: F1: 92.36, P: 93.21, R: 91.52, RollIn = 0.7738, NZW = 592455
    6: F1: 92.34, P: 93.15, R: 91.55, RollIn = 0.7351, NZW = 588226
    7: F1: 92.64, P: 93.43, R: 91.87, RollIn = 0.6983, NZW = 592495
    8: F1: 92.44, P: 93.19, R: 91.70, RollIn = 0.6634, NZW = 598454
    9: F1: 92.72, P: 93.53, R: 91.92, RollIn = 0.6302, NZW = 605119
   10: F1: 92.80, P: 93.54, R: 92.07, RollIn = 0.5987, NZW = 607647
   11: F1: 92.75, P: 93.52, R: 91.99, RollIn = 0.5688, NZW = 600597
   12: F1: 92.67, P: 93.42, R: 91.94, RollIn = 0.5404, NZW = 601079
   13: F1: 92.81, P: 93.54, R: 92.09, RollIn = 0.5133, NZW = 603053
   14: F1: 92.81, P: 93.54, R: 92.09, RollIn = 0.4877, NZW = 605706
   15: F1: 92.76, P: 93.50, R: 92.02, RollIn = 0.4633, NZW = 603595
   16: F1: 92.72, P: 93.48, R: 91.97, RollIn = 0.4401, NZW = 598313
   17: F1: 92.74, P: 93.47, R: 92.02, RollIn = 0.4181, NZW = 597977
   18: F1: 92.70, P: 93.43, R: 91.97, RollIn = 0.3972, NZW = 599217
   19: F1: 92.71, P: 93.47, R: 91.97, RollIn = 0.3774, NZW = 600888
   20: F1: 92.75, P: 93.53, R: 91.97, RollIn = 0.3585, NZW = 597664
   21: F1: 92.74, P: 93.48, R: 92.01, RollIn = 0.3406, NZW = 593467
   22: F1: 92.67, P: 93.39, R: 91.97, RollIn = 0.3235, NZW = 593238
   23: F1: 92.60, P: 93.36, R: 91.85, RollIn = 0.3074, NZW = 593580
   24: F1: 92.65, P: 93.41, R: 91.91, RollIn = 0.2920, NZW = 595011
   25: F1: 92.73, P: 93.54, R: 91.92, RollIn = 0.2774, NZW = 591667
   26: F1: 92.64, P: 93.38, R: 91.91, RollIn = 0.2635, NZW = 588537
   27: F1: 92.67, P: 93.46, R: 91.89, RollIn = 0.2503, NZW = 587592
   28: F1: 92.64, P: 93.41, R: 91.89, RollIn = 0.2378, NZW = 587976
   29: F1: 92.68, P: 93.45, R: 91.92, RollIn = 0.2259, NZW = 588434
   30: F1: 92.66, P: 93.46, R: 91.87, RollIn = 0.2146, NZW = 583847
   31: F1: 92.74, P: 93.55, R: 91.96, RollIn = 0.2039, NZW = 581690
   32: F1: 92.72, P: 93.56, R: 91.89, RollIn = 0.1937, NZW = 581112
   33: F1: 92.87, P: 93.73, R: 92.02, RollIn = 0.1840, NZW = 581393
   34: F1: 92.75, P: 93.61, R: 91.91, RollIn = 0.1748, NZW = 582174
   35: F1: 92.72, P: 93.56, R: 91.89, RollIn = 0.1661, NZW = 578496
   36: F1: 92.75, P: 93.56, R: 91.96, RollIn = 0.1578, NZW = 576719
   37: F1: 92.80, P: 93.64, R: 91.97, RollIn = 0.1499, NZW = 576313
   38: F1: 92.84, P: 93.66, R: 92.02, RollIn = 0.1424, NZW = 576236
   39: F1: 92.82, P: 93.68, R: 91.99, RollIn = 0.1353, NZW = 576885
   40: F1: 92.79, P: 93.63, R: 91.97, RollIn = 0.1285, NZW = 573216
   41: F1: 92.75, P: 93.65, R: 91.87, RollIn = 0.1221, NZW = 572349
   42: F1: 92.81, P: 93.69, R: 91.94, RollIn = 0.1160, NZW = 572345
   43: F1: 92.82, P: 93.71, R: 91.96, RollIn = 0.1102, NZW = 572345
   44: F1: 92.74, P: 93.67, R: 91.84, RollIn = 0.1047, NZW = 572138
   45: F1: 92.69, P: 93.58, R: 91.82, RollIn = 0.0994, NZW = 567845
   46: F1: 92.65, P: 93.59, R: 91.72, RollIn = 0.0945, NZW = 567008
   47: F1: 92.62, P: 93.59, R: 91.67, RollIn = 0.0897, NZW = 567232
   48: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0853, NZW = 567047
   49: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0810, NZW = 566730
   50: F1: 92.66, P: 93.61, R: 91.72, RollIn = 0.0769, NZW = 563116
   51: F1: 92.58, P: 93.54, R: 91.64, RollIn = 0.0731, NZW = 562583
   52: F1: 92.66, P: 93.60, R: 91.74, RollIn = 0.0694, NZW = 562463
   53: F1: 92.62, P: 93.56, R: 91.70, RollIn = 0.0660, NZW = 562549
   54: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0627, NZW = 561617
   55: F1: 92.76, P: 93.67, R: 91.87, RollIn = 0.0595, NZW = 558770
   56: F1: 92.71, P: 93.60, R: 91.84, RollIn = 0.0566, NZW = 558420
   57: F1: 92.74, P: 93.62, R: 91.87, RollIn = 0.0537, NZW = 558354
   58: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0510, NZW = 558785
   59: F1: 92.73, P: 93.59, R: 91.89, RollIn = 0.0485, NZW = 557455
   60: F1: 92.70, P: 93.66, R: 91.75, RollIn = 0.0461, NZW = 555190
   61: F1: 92.72, P: 93.65, R: 91.80, RollIn = 0.0438, NZW = 554655
   62: F1: 92.74, P: 93.70, R: 91.80, RollIn = 0.0416, NZW = 554558
   63: F1: 92.77, P: 93.73, R: 91.84, RollIn = 0.0395, NZW = 554524
   64: F1: 92.74, P: 93.70, R: 91.80, RollIn = 0.0375, NZW = 552763
   65: F1: 92.71, P: 93.69, R: 91.75, RollIn = 0.0356, NZW = 550941
   66: F1: 92.68, P: 93.66, R: 91.72, RollIn = 0.0339, NZW = 550300
   67: F1: 92.64, P: 93.56, R: 91.74, RollIn = 0.0322, NZW = 550365
   68: F1: 92.72, P: 93.66, R: 91.80, RollIn = 0.0306, NZW = 550159
   69: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0290, NZW = 548221
   70: F1: 92.72, P: 93.65, R: 91.80, RollIn = 0.0276, NZW = 546350
   71: F1: 92.72, P: 93.66, R: 91.80, RollIn = 0.0262, NZW = 545859
   72: F1: 92.65, P: 93.59, R: 91.72, RollIn = 0.0249, NZW = 545603
   73: F1: 92.65, P: 93.62, R: 91.69, RollIn = 0.0236, NZW = 545156
   74: F1: 92.59, P: 93.59, R: 91.62, RollIn = 0.0225, NZW = 542569
   75: F1: 92.63, P: 93.62, R: 91.65, RollIn = 0.0213, NZW = 541314
   76: F1: 92.60, P: 93.56, R: 91.65, RollIn = 0.0203, NZW = 540711
   77: F1: 92.65, P: 93.62, R: 91.69, RollIn = 0.0193, NZW = 540689
   78: F1: 92.65, P: 93.63, R: 91.70, RollIn = 0.0183, NZW = 541349
   79: F1: 92.65, P: 93.66, R: 91.67, RollIn = 0.0174, NZW = 539121
   80: F1: 92.64, P: 93.62, R: 91.67, RollIn = 0.0165, NZW = 538190
   81: F1: 92.72, P: 93.69, R: 91.77, RollIn = 0.0157, NZW = 537718
   82: F1: 92.67, P: 93.61, R: 91.75, RollIn = 0.0149, NZW = 537625
   83: F1: 92.61, P: 93.59, R: 91.65, RollIn = 0.0142, NZW = 537449
   84: F1: 92.64, P: 93.64, R: 91.67, RollIn = 0.0135, NZW = 535258
   85: F1: 92.60, P: 93.60, R: 91.62, RollIn = 0.0128, NZW = 534585
