[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.71, P: 92.24, R: 89.23, RollIn = 0.9500, NZW = 429662
    2: F1: 91.61, P: 92.91, R: 90.36, RollIn = 0.9025, NZW = 516560
    3: F1: 92.10, P: 93.19, R: 91.03, RollIn = 0.8574, NZW = 564543
    4: F1: 92.16, P: 93.14, R: 91.20, RollIn = 0.8145, NZW = 597402
    5: F1: 92.37, P: 93.33, R: 91.43, RollIn = 0.7738, NZW = 618571
    6: F1: 92.45, P: 93.40, R: 91.52, RollIn = 0.7351, NZW = 614462
    7: F1: 92.59, P: 93.51, R: 91.69, RollIn = 0.6983, NZW = 618897
    8: F1: 92.58, P: 93.50, R: 91.69, RollIn = 0.6634, NZW = 624145
    9: F1: 92.49, P: 93.35, R: 91.65, RollIn = 0.6302, NZW = 630594
   10: F1: 92.66, P: 93.47, R: 91.85, RollIn = 0.5987, NZW = 632599
   11: F1: 92.70, P: 93.54, R: 91.87, RollIn = 0.5688, NZW = 626285
   12: F1: 92.77, P: 93.59, R: 91.96, RollIn = 0.5404, NZW = 626972
   13: F1: 92.67, P: 93.51, R: 91.85, RollIn = 0.5133, NZW = 628141
   14: F1: 92.72, P: 93.54, R: 91.91, RollIn = 0.4877, NZW = 630734
   15: F1: 92.75, P: 93.55, R: 91.97, RollIn = 0.4633, NZW = 628072
   16: F1: 92.80, P: 93.64, R: 91.97, RollIn = 0.4401, NZW = 623386
   17: F1: 92.70, P: 93.51, R: 91.91, RollIn = 0.4181, NZW = 623147
   18: F1: 92.74, P: 93.55, R: 91.96, RollIn = 0.3972, NZW = 623443
   19: F1: 92.82, P: 93.65, R: 92.01, RollIn = 0.3774, NZW = 624896
   20: F1: 92.88, P: 93.74, R: 92.04, RollIn = 0.3585, NZW = 621733
   21: F1: 92.84, P: 93.63, R: 92.06, RollIn = 0.3406, NZW = 618228
   22: F1: 92.80, P: 93.64, R: 91.97, RollIn = 0.3235, NZW = 617278
   23: F1: 92.76, P: 93.62, R: 91.92, RollIn = 0.3074, NZW = 616913
   24: F1: 92.75, P: 93.61, R: 91.91, RollIn = 0.2920, NZW = 617729
   25: F1: 92.88, P: 93.73, R: 92.04, RollIn = 0.2774, NZW = 613730
   26: F1: 92.78, P: 93.63, R: 91.96, RollIn = 0.2635, NZW = 610411
   27: F1: 92.80, P: 93.67, R: 91.94, RollIn = 0.2503, NZW = 610257
   28: F1: 92.81, P: 93.70, R: 91.94, RollIn = 0.2378, NZW = 610070
   29: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.2259, NZW = 609989
   30: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.2146, NZW = 606872
   31: F1: 92.73, P: 93.57, R: 91.91, RollIn = 0.2039, NZW = 604667
   32: F1: 92.72, P: 93.60, R: 91.85, RollIn = 0.1937, NZW = 604084
   33: F1: 92.78, P: 93.67, R: 91.91, RollIn = 0.1840, NZW = 603649
   34: F1: 92.75, P: 93.67, R: 91.85, RollIn = 0.1748, NZW = 604511
   35: F1: 92.75, P: 93.61, R: 91.91, RollIn = 0.1661, NZW = 600305
   36: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.1578, NZW = 598327
   37: F1: 92.83, P: 93.78, R: 91.89, RollIn = 0.1499, NZW = 598128
   38: F1: 92.78, P: 93.67, R: 91.91, RollIn = 0.1424, NZW = 598167
   39: F1: 92.77, P: 93.65, R: 91.91, RollIn = 0.1353, NZW = 598696
