[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.40, P: 91.78, R: 89.06, RollIn = 0.9500, NZW = 370962
    2: F1: 91.45, P: 92.66, R: 90.27, RollIn = 0.9025, NZW = 442839
    3: F1: 91.64, P: 92.64, R: 90.66, RollIn = 0.8574, NZW = 482814
    4: F1: 92.11, P: 93.03, R: 91.20, RollIn = 0.8145, NZW = 512991
    5: F1: 92.29, P: 93.13, R: 91.47, RollIn = 0.7738, NZW = 531857
    6: F1: 92.36, P: 93.21, R: 91.52, RollIn = 0.7351, NZW = 528200
    7: F1: 92.56, P: 93.42, R: 91.72, RollIn = 0.6983, NZW = 532270
    8: F1: 92.64, P: 93.49, R: 91.80, RollIn = 0.6634, NZW = 538330
    9: F1: 92.62, P: 93.46, R: 91.80, RollIn = 0.6302, NZW = 545166
   10: F1: 92.68, P: 93.51, R: 91.87, RollIn = 0.5987, NZW = 547599
   11: F1: 92.68, P: 93.48, R: 91.91, RollIn = 0.5688, NZW = 541270
   12: F1: 92.58, P: 93.33, R: 91.84, RollIn = 0.5404, NZW = 541866
   13: F1: 92.61, P: 93.30, R: 91.92, RollIn = 0.5133, NZW = 543410
   14: F1: 92.56, P: 93.31, R: 91.82, RollIn = 0.4877, NZW = 546142
   15: F1: 92.58, P: 93.36, R: 91.82, RollIn = 0.4633, NZW = 544225
   16: F1: 92.61, P: 93.38, R: 91.85, RollIn = 0.4401, NZW = 539809
   17: F1: 92.62, P: 93.35, R: 91.91, RollIn = 0.4181, NZW = 539516
   18: F1: 92.61, P: 93.33, R: 91.91, RollIn = 0.3972, NZW = 540550
   19: F1: 92.70, P: 93.48, R: 91.94, RollIn = 0.3774, NZW = 541342
   20: F1: 92.64, P: 93.38, R: 91.91, RollIn = 0.3585, NZW = 538510
   21: F1: 92.72, P: 93.44, R: 92.01, RollIn = 0.3406, NZW = 535125
   22: F1: 92.73, P: 93.54, R: 91.94, RollIn = 0.3235, NZW = 534724
   23: F1: 92.70, P: 93.51, R: 91.91, RollIn = 0.3074, NZW = 535168
   24: F1: 92.76, P: 93.56, R: 91.97, RollIn = 0.2920, NZW = 536262
   25: F1: 92.77, P: 93.58, R: 91.97, RollIn = 0.2774, NZW = 533261
   26: F1: 92.88, P: 93.70, R: 92.07, RollIn = 0.2635, NZW = 530560
   27: F1: 92.80, P: 93.61, R: 92.01, RollIn = 0.2503, NZW = 530150
   28: F1: 92.86, P: 93.67, R: 92.07, RollIn = 0.2378, NZW = 530705
   29: F1: 92.92, P: 93.72, R: 92.14, RollIn = 0.2259, NZW = 531034
   30: F1: 92.91, P: 93.69, R: 92.14, RollIn = 0.2146, NZW = 527779
   31: F1: 92.88, P: 93.65, R: 92.12, RollIn = 0.2039, NZW = 526171
   32: F1: 92.94, P: 93.76, R: 92.12, RollIn = 0.1937, NZW = 525980
   33: F1: 92.91, P: 93.76, R: 92.07, RollIn = 0.1840, NZW = 526613
   34: F1: 92.88, P: 93.71, R: 92.06, RollIn = 0.1748, NZW = 527238
   35: F1: 92.89, P: 93.67, R: 92.12, RollIn = 0.1661, NZW = 523796
   36: F1: 92.92, P: 93.76, R: 92.09, RollIn = 0.1578, NZW = 522186
   37: F1: 92.90, P: 93.72, R: 92.11, RollIn = 0.1499, NZW = 522079
   38: F1: 92.84, P: 93.68, R: 92.02, RollIn = 0.1424, NZW = 522430
   39: F1: 92.88, P: 93.77, R: 92.01, RollIn = 0.1353, NZW = 523040
   40: F1: 92.80, P: 93.66, R: 91.96, RollIn = 0.1285, NZW = 519519
   41: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.1221, NZW = 518737
   42: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.1160, NZW = 518316
   43: F1: 92.79, P: 93.69, R: 91.91, RollIn = 0.1102, NZW = 518181
   44: F1: 92.78, P: 93.70, R: 91.87, RollIn = 0.1047, NZW = 517947
