[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.97, P: 92.26, R: 89.72, RollIn = 0.9500, NZW = 439260
    2: F1: 91.90, P: 93.08, R: 90.74, RollIn = 0.9025, NZW = 522037
    3: F1: 91.87, P: 92.92, R: 90.84, RollIn = 0.8574, NZW = 568799
    4: F1: 92.27, P: 93.14, R: 91.42, RollIn = 0.8145, NZW = 602618
    5: F1: 92.40, P: 93.34, R: 91.48, RollIn = 0.7738, NZW = 624452
    6: F1: 92.37, P: 93.17, R: 91.59, RollIn = 0.7351, NZW = 619522
    7: F1: 92.58, P: 93.38, R: 91.80, RollIn = 0.6983, NZW = 623628
    8: F1: 92.52, P: 93.35, R: 91.70, RollIn = 0.6634, NZW = 629882
    9: F1: 92.59, P: 93.44, R: 91.75, RollIn = 0.6302, NZW = 636882
   10: F1: 92.64, P: 93.43, R: 91.87, RollIn = 0.5987, NZW = 638872
   11: F1: 92.62, P: 93.37, R: 91.89, RollIn = 0.5688, NZW = 631728
   12: F1: 92.66, P: 93.42, R: 91.92, RollIn = 0.5404, NZW = 631976
   13: F1: 92.68, P: 93.45, R: 91.92, RollIn = 0.5133, NZW = 632871
   14: F1: 92.78, P: 93.61, R: 91.96, RollIn = 0.4877, NZW = 635588
   15: F1: 92.63, P: 93.47, R: 91.80, RollIn = 0.4633, NZW = 633526
   16: F1: 92.69, P: 93.54, R: 91.85, RollIn = 0.4401, NZW = 627522
   17: F1: 92.73, P: 93.56, R: 91.92, RollIn = 0.4181, NZW = 626626
   18: F1: 92.69, P: 93.51, R: 91.89, RollIn = 0.3972, NZW = 627204
   19: F1: 92.73, P: 93.54, R: 91.92, RollIn = 0.3774, NZW = 627999
   20: F1: 92.69, P: 93.51, R: 91.89, RollIn = 0.3585, NZW = 624567
   21: F1: 92.76, P: 93.58, R: 91.96, RollIn = 0.3406, NZW = 620967
   22: F1: 92.68, P: 93.48, R: 91.91, RollIn = 0.3235, NZW = 620204
   23: F1: 92.66, P: 93.47, R: 91.85, RollIn = 0.3074, NZW = 620146
   24: F1: 92.80, P: 93.63, R: 91.99, RollIn = 0.2920, NZW = 620923
   25: F1: 92.86, P: 93.67, R: 92.07, RollIn = 0.2774, NZW = 616303
   26: F1: 92.83, P: 93.68, R: 92.01, RollIn = 0.2635, NZW = 612470
   27: F1: 92.89, P: 93.73, R: 92.06, RollIn = 0.2503, NZW = 612196
   28: F1: 92.82, P: 93.68, R: 91.99, RollIn = 0.2378, NZW = 613182
   29: F1: 92.82, P: 93.68, R: 91.97, RollIn = 0.2259, NZW = 613870
   30: F1: 92.86, P: 93.68, R: 92.06, RollIn = 0.2146, NZW = 609911
   31: F1: 92.81, P: 93.64, R: 91.99, RollIn = 0.2039, NZW = 607361
   32: F1: 92.72, P: 93.56, R: 91.89, RollIn = 0.1937, NZW = 607336
   33: F1: 92.84, P: 93.68, R: 92.02, RollIn = 0.1840, NZW = 608159
   34: F1: 92.94, P: 93.86, R: 92.04, RollIn = 0.1748, NZW = 608967
   35: F1: 92.82, P: 93.72, R: 91.94, RollIn = 0.1661, NZW = 605008
   36: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.1578, NZW = 603307
   37: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.1499, NZW = 602422
   38: F1: 92.70, P: 93.57, R: 91.84, RollIn = 0.1424, NZW = 602450
   39: F1: 92.63, P: 93.47, R: 91.80, RollIn = 0.1353, NZW = 602450
   40: F1: 92.70, P: 93.59, R: 91.84, RollIn = 0.1285, NZW = 597400
   41: F1: 92.70, P: 93.56, R: 91.85, RollIn = 0.1221, NZW = 596531
