[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.42, P: 91.80, R: 89.08, RollIn = 0.9500, NZW = 364631
    2: F1: 91.56, P: 92.73, R: 90.42, RollIn = 0.9025, NZW = 433819
    3: F1: 91.70, P: 92.77, R: 90.66, RollIn = 0.8574, NZW = 473943
    4: F1: 92.10, P: 92.92, R: 91.28, RollIn = 0.8145, NZW = 504915
    5: F1: 92.10, P: 92.91, R: 91.30, RollIn = 0.7738, NZW = 525141
    6: F1: 92.22, P: 92.91, R: 91.53, RollIn = 0.7351, NZW = 521096
    7: F1: 92.29, P: 92.98, R: 91.62, RollIn = 0.6983, NZW = 524977
    8: F1: 92.51, P: 93.28, R: 91.75, RollIn = 0.6634, NZW = 530630
    9: F1: 92.51, P: 93.25, R: 91.79, RollIn = 0.6302, NZW = 537794
   10: F1: 92.61, P: 93.32, R: 91.91, RollIn = 0.5987, NZW = 540213
   11: F1: 92.61, P: 93.32, R: 91.91, RollIn = 0.5688, NZW = 533240
   12: F1: 92.65, P: 93.35, R: 91.96, RollIn = 0.5404, NZW = 533811
   13: F1: 92.78, P: 93.46, R: 92.11, RollIn = 0.5133, NZW = 535837
   14: F1: 92.65, P: 93.40, R: 91.91, RollIn = 0.4877, NZW = 538423
   15: F1: 92.69, P: 93.39, R: 92.01, RollIn = 0.4633, NZW = 536628
   16: F1: 92.82, P: 93.49, R: 92.16, RollIn = 0.4401, NZW = 531957
   17: F1: 92.77, P: 93.47, R: 92.07, RollIn = 0.4181, NZW = 531310
   18: F1: 92.76, P: 93.44, R: 92.09, RollIn = 0.3972, NZW = 531866
   19: F1: 92.73, P: 93.45, R: 92.02, RollIn = 0.3774, NZW = 533428
   20: F1: 92.85, P: 93.65, R: 92.07, RollIn = 0.3585, NZW = 530768
   21: F1: 92.82, P: 93.60, R: 92.06, RollIn = 0.3406, NZW = 526764
   22: F1: 92.88, P: 93.65, R: 92.12, RollIn = 0.3235, NZW = 526164
   23: F1: 92.91, P: 93.70, R: 92.14, RollIn = 0.3074, NZW = 526871
   24: F1: 92.91, P: 93.64, R: 92.19, RollIn = 0.2920, NZW = 528363
   25: F1: 92.96, P: 93.71, R: 92.22, RollIn = 0.2774, NZW = 524771
   26: F1: 92.81, P: 93.55, R: 92.07, RollIn = 0.2635, NZW = 522296
   27: F1: 93.00, P: 93.79, R: 92.22, RollIn = 0.2503, NZW = 521609
   28: F1: 92.96, P: 93.71, R: 92.22, RollIn = 0.2378, NZW = 522276
   29: F1: 93.03, P: 93.79, R: 92.28, RollIn = 0.2259, NZW = 522943
   30: F1: 93.06, P: 93.79, R: 92.34, RollIn = 0.2146, NZW = 519624
   31: F1: 92.95, P: 93.71, R: 92.21, RollIn = 0.2039, NZW = 517558
   32: F1: 92.99, P: 93.73, R: 92.26, RollIn = 0.1937, NZW = 517177
   33: F1: 92.96, P: 93.77, R: 92.17, RollIn = 0.1840, NZW = 517644
