[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.53, P: 91.81, R: 89.28, RollIn = 0.9500, NZW = 359859
    2: F1: 91.31, P: 92.28, R: 90.36, RollIn = 0.9025, NZW = 429170
    3: F1: 91.88, P: 92.81, R: 90.98, RollIn = 0.8574, NZW = 469187
    4: F1: 92.06, P: 92.86, R: 91.27, RollIn = 0.8145, NZW = 499163
    5: F1: 92.26, P: 93.04, R: 91.50, RollIn = 0.7738, NZW = 519737
    6: F1: 92.33, P: 93.06, R: 91.62, RollIn = 0.7351, NZW = 515444
    7: F1: 92.37, P: 93.09, R: 91.65, RollIn = 0.6983, NZW = 519242
    8: F1: 92.41, P: 93.13, R: 91.70, RollIn = 0.6634, NZW = 525121
    9: F1: 92.50, P: 93.22, R: 91.80, RollIn = 0.6302, NZW = 531442
   10: F1: 92.55, P: 93.28, R: 91.84, RollIn = 0.5987, NZW = 533514
   11: F1: 92.51, P: 93.20, R: 91.82, RollIn = 0.5688, NZW = 526976
   12: F1: 92.54, P: 93.24, R: 91.85, RollIn = 0.5404, NZW = 527519
   13: F1: 92.55, P: 93.30, R: 91.82, RollIn = 0.5133, NZW = 530013
   14: F1: 92.71, P: 93.38, R: 92.06, RollIn = 0.4877, NZW = 532507
   15: F1: 92.59, P: 93.33, R: 91.85, RollIn = 0.4633, NZW = 531353
   16: F1: 92.65, P: 93.40, R: 91.92, RollIn = 0.4401, NZW = 526372
   17: F1: 92.73, P: 93.47, R: 92.01, RollIn = 0.4181, NZW = 526160
   18: F1: 92.68, P: 93.48, R: 91.89, RollIn = 0.3972, NZW = 526793
   19: F1: 92.66, P: 93.45, R: 91.89, RollIn = 0.3774, NZW = 527925
   20: F1: 92.60, P: 93.35, R: 91.87, RollIn = 0.3585, NZW = 524713
   21: F1: 92.68, P: 93.46, R: 91.91, RollIn = 0.3406, NZW = 521166
   22: F1: 92.75, P: 93.50, R: 92.01, RollIn = 0.3235, NZW = 520909
   23: F1: 92.62, P: 93.39, R: 91.85, RollIn = 0.3074, NZW = 521572
   24: F1: 92.64, P: 93.43, R: 91.87, RollIn = 0.2920, NZW = 522882
   25: F1: 92.70, P: 93.53, R: 91.89, RollIn = 0.2774, NZW = 519120
   26: F1: 92.74, P: 93.56, R: 91.94, RollIn = 0.2635, NZW = 516476
   27: F1: 92.77, P: 93.55, R: 92.01, RollIn = 0.2503, NZW = 516325
   28: F1: 92.78, P: 93.52, R: 92.06, RollIn = 0.2378, NZW = 517029
   29: F1: 92.75, P: 93.53, R: 91.97, RollIn = 0.2259, NZW = 517895
   30: F1: 92.78, P: 93.55, R: 92.02, RollIn = 0.2146, NZW = 514510
   31: F1: 92.85, P: 93.62, R: 92.09, RollIn = 0.2039, NZW = 512838
   32: F1: 92.77, P: 93.53, R: 92.02, RollIn = 0.1937, NZW = 512588
   33: F1: 92.73, P: 93.54, R: 91.94, RollIn = 0.1840, NZW = 512440
   34: F1: 92.72, P: 93.50, R: 91.96, RollIn = 0.1748, NZW = 513273
   35: F1: 92.71, P: 93.51, R: 91.92, RollIn = 0.1661, NZW = 509645
   36: F1: 92.79, P: 93.60, R: 91.99, RollIn = 0.1578, NZW = 507919
   37: F1: 92.78, P: 93.61, R: 91.96, RollIn = 0.1499, NZW = 507928
   38: F1: 92.78, P: 93.59, R: 91.97, RollIn = 0.1424, NZW = 507906
   39: F1: 92.75, P: 93.59, R: 91.92, RollIn = 0.1353, NZW = 508209
   40: F1: 92.70, P: 93.54, R: 91.87, RollIn = 0.1285, NZW = 504073
   41: F1: 92.79, P: 93.61, R: 91.99, RollIn = 0.1221, NZW = 503255
   42: F1: 92.80, P: 93.64, R: 91.97, RollIn = 0.1160, NZW = 503218
   43: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.1102, NZW = 503722
   44: F1: 92.76, P: 93.56, R: 91.97, RollIn = 0.1047, NZW = 503940
   45: F1: 92.72, P: 93.57, R: 91.89, RollIn = 0.0994, NZW = 500449
   46: F1: 92.71, P: 93.59, R: 91.85, RollIn = 0.0945, NZW = 499524
   47: F1: 92.75, P: 93.61, R: 91.91, RollIn = 0.0897, NZW = 499535
   48: F1: 92.66, P: 93.47, R: 91.85, RollIn = 0.0853, NZW = 499752
   49: F1: 92.71, P: 93.62, R: 91.82, RollIn = 0.0810, NZW = 499359
   50: F1: 92.72, P: 93.62, R: 91.84, RollIn = 0.0769, NZW = 496236
   51: F1: 92.83, P: 93.74, R: 91.94, RollIn = 0.0731, NZW = 495453
   52: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0694, NZW = 495019
   53: F1: 92.66, P: 93.58, R: 91.75, RollIn = 0.0660, NZW = 495346
   54: F1: 92.62, P: 93.52, R: 91.74, RollIn = 0.0627, NZW = 494322
   55: F1: 92.67, P: 93.52, R: 91.84, RollIn = 0.0595, NZW = 492073
   56: F1: 92.71, P: 93.56, R: 91.87, RollIn = 0.0566, NZW = 491648
   57: F1: 92.67, P: 93.58, R: 91.77, RollIn = 0.0537, NZW = 491494
   58: F1: 92.80, P: 93.73, R: 91.89, RollIn = 0.0510, NZW = 491403
   59: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0485, NZW = 490087
   60: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.0461, NZW = 488010
   61: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.0438, NZW = 487687
   62: F1: 92.82, P: 93.68, R: 91.99, RollIn = 0.0416, NZW = 487442
   63: F1: 92.82, P: 93.68, R: 91.99, RollIn = 0.0395, NZW = 487710
   64: F1: 92.73, P: 93.59, R: 91.89, RollIn = 0.0375, NZW = 486255
   65: F1: 92.73, P: 93.54, R: 91.92, RollIn = 0.0356, NZW = 484407
   66: F1: 92.72, P: 93.54, R: 91.91, RollIn = 0.0339, NZW = 483918
   67: F1: 92.70, P: 93.56, R: 91.85, RollIn = 0.0322, NZW = 483606
   68: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0306, NZW = 483716
   69: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0290, NZW = 481766
   70: F1: 92.78, P: 93.69, R: 91.89, RollIn = 0.0276, NZW = 480299
   71: F1: 92.79, P: 93.69, R: 91.91, RollIn = 0.0262, NZW = 479731
   72: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0249, NZW = 479677
   73: F1: 92.75, P: 93.59, R: 91.92, RollIn = 0.0236, NZW = 479430
   74: F1: 92.79, P: 93.63, R: 91.97, RollIn = 0.0225, NZW = 477235
   75: F1: 92.78, P: 93.64, R: 91.94, RollIn = 0.0213, NZW = 476051
   76: F1: 92.82, P: 93.68, R: 91.97, RollIn = 0.0203, NZW = 476016
   77: F1: 92.87, P: 93.76, R: 92.01, RollIn = 0.0193, NZW = 476309
   78: F1: 92.80, P: 93.67, R: 91.94, RollIn = 0.0183, NZW = 476354
   79: F1: 92.78, P: 93.70, R: 91.87, RollIn = 0.0174, NZW = 474583
   80: F1: 92.77, P: 93.65, R: 91.91, RollIn = 0.0165, NZW = 473390
   81: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0157, NZW = 472875
   82: F1: 92.75, P: 93.65, R: 91.87, RollIn = 0.0149, NZW = 472885
   83: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.0142, NZW = 472771
   84: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0135, NZW = 470529
   85: F1: 92.72, P: 93.60, R: 91.85, RollIn = 0.0128, NZW = 469768
   86: F1: 92.79, P: 93.67, R: 91.92, RollIn = 0.0121, NZW = 469251
   87: F1: 92.81, P: 93.67, R: 91.96, RollIn = 0.0115, NZW = 469361
   88: F1: 92.76, P: 93.64, R: 91.91, RollIn = 0.0110, NZW = 469194
