[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.47, P: 91.72, R: 89.26, RollIn = 0.9500, NZW = 358511
    2: F1: 91.45, P: 92.42, R: 90.49, RollIn = 0.9025, NZW = 427198
    3: F1: 91.67, P: 92.61, R: 90.74, RollIn = 0.8574, NZW = 467836
    4: F1: 91.94, P: 92.71, R: 91.18, RollIn = 0.8145, NZW = 499592
    5: F1: 92.18, P: 93.00, R: 91.38, RollIn = 0.7738, NZW = 519800
    6: F1: 92.29, P: 92.98, R: 91.62, RollIn = 0.7351, NZW = 515035
    7: F1: 92.40, P: 93.14, R: 91.67, RollIn = 0.6983, NZW = 519087
    8: F1: 92.37, P: 93.11, R: 91.64, RollIn = 0.6634, NZW = 525145
    9: F1: 92.45, P: 93.21, R: 91.70, RollIn = 0.6302, NZW = 531954
   10: F1: 92.54, P: 93.30, R: 91.80, RollIn = 0.5987, NZW = 534196
   11: F1: 92.54, P: 93.30, R: 91.80, RollIn = 0.5688, NZW = 527875
   12: F1: 92.53, P: 93.28, R: 91.79, RollIn = 0.5404, NZW = 527934
   13: F1: 92.66, P: 93.40, R: 91.94, RollIn = 0.5133, NZW = 529610
   14: F1: 92.66, P: 93.38, R: 91.94, RollIn = 0.4877, NZW = 532425
   15: F1: 92.72, P: 93.45, R: 92.01, RollIn = 0.4633, NZW = 530003
   16: F1: 92.60, P: 93.32, R: 91.89, RollIn = 0.4401, NZW = 524725
   17: F1: 92.70, P: 93.48, R: 91.94, RollIn = 0.4181, NZW = 524329
   18: F1: 92.66, P: 93.38, R: 91.94, RollIn = 0.3972, NZW = 525135
   19: F1: 92.71, P: 93.47, R: 91.97, RollIn = 0.3774, NZW = 526284
